row_id,input_url,content_type,text_raw,text_norm,sentiment_label,sentiment_confidence,watch_intent_label,watch_intent_confidence,confusion_flag,theme_id,theme_label,theme_human_label,theme_description,theme_confidence,is_canonical,canonical_id,label_source
r1,https://www.instagram.com/reel/DW20px2kiNY/,comment,Smooothhhhh,smooothhhhh,pos,0.3505,low,0.3504,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.9108,1,c0,llm
r2,https://www.instagram.com/reel/DW20px2kiNY/,reply,@jjgarbowski ???,???,neu,0.3825,low,0.3554,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9621,1,c1,llm
r3,https://www.instagram.com/reel/DW20px2kiNY/,reply,@jjgarbowski he'll yeah brother??,he'll yeah brother??,pos,0.3738,low,0.3406,0,t4,was_looks_smooth,Smooth and Youthful,"Comments focus on someone appearing smooth, young, or attractive.",0.8918,1,c2,llm
r4,https://www.instagram.com/reel/DW20px2kiNY/,reply,@jjgarbowski ??????????????????????????????????????????,??????????????????????????????????????????,neu,0.3725,low,0.3518,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9283,1,c3,llm
r5,https://www.instagram.com/reel/DW20px2kiNY/,comment,"Kreg, RUN!!! It sound like a love meet situation but instead of apologizing after she knee you, she was offended by ""she knee you""","kreg, run!!! it sound like a love meet situation but instead of apologizing after she knee you, she was offended by ""she knee you""",neg,0.3491,low,0.3536,0,t7,kneed_knee_need,Wordplay on 'Knee',"Comments playing on the words 'need' and 'knee', often with humorous intent.",0.8784,1,c4,model
r6,https://www.instagram.com/reel/DW20px2kiNY/,reply,????????????????,????????????????,neu,0.3782,med,0.3542,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9297,1,c5,model
r7,https://www.instagram.com/reel/DW20px2kiNY/,reply,She did apologize,she did apologize,neu,0.3443,low,0.3618,0,t9,over_was_just,Speeding and Traffic Stops,"Discussions related to speeding, traffic tickets, and being pulled over.",0.8734,1,c6,model
r8,https://www.instagram.com/reel/DW20px2kiNY/,reply,Clean your ear wax and listen again,clean your ear wax and listen again,neu,0.3556,med,0.3418,0,t2,step_just_can,Step-by-Step Instructions,Comments outlining a series of steps to achieve a goal.,0.8439,1,c7,model
r9,https://www.instagram.com/reel/DW20px2kiNY/,comment,????,????,neu,0.3856,med,0.3562,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9464,1,c8,model
r10,https://www.instagram.com/reel/DW20px2kiNY/,comment,??????????????????????????????,??????????????????????????????,neu,0.3721,med,0.3493,1,t8,what_word_name,Exclamations and Questions,"Short, often emoji-filled comments expressing surprise or asking basic questions.",0.9273,1,c9,model
