theme,rank,text_raw,input_url,canonical_id,watch_intent_label,similarity
MIXED,1,??,https://www.instagram.com/reel/DW_x3ZrO2Wz/,c12,low,0.6635
MIXED,2,?? amazing confusion,https://www.instagram.com/reel/DW20px2kiNY/,c74,med,0.6543
MIXED,3,What,https://www.instagram.com/reel/DW7nuj-JJSH/,c445,med,0.6423
MIXED,4,Explain?,https://www.instagram.com/reel/DW9K0KdvpR0/,c430,med,0.6395
MIXED,5,Same thing ????,https://www.instagram.com/reel/DW34A7uCOwb/,c227,low,0.6364
MIXED,6,Huh,https://www.instagram.com/reel/DXAvh_OvwfP/,c428,low,0.6332
MIXED,7,??????,https://www.instagram.com/reel/DW34A7uCOwb/,c11,low,0.6314
MIXED,8,@malutes1 Why salty about my comment?,https://www.instagram.com/reel/DW34A7uCOwb/,c206,low,0.631
MIXED,9,Huh?,https://www.instagram.com/reel/DXCKDsiE_zc/,c457,med,0.6309
MIXED,10,????????????,https://www.instagram.com/reel/DW34A7uCOwb/,c228,low,0.6305
Movie Name Requests,1,Movie's name please,https://www.instagram.com/reel/DXACv8kmL-m/,c350,high,0.8314
Movie Name Requests,2,Name of film please,https://www.instagram.com/reel/DXACv8kmL-m/,c334,high,0.8108
Movie Name Requests,3,Movie name,https://www.instagram.com/reel/DW20px2kiNY/,c90,high,0.7943
Movie Name Requests,4,Movie ?,https://www.instagram.com/reel/DXCey5pDdXZ/,c471,high,0.7876
Movie Name Requests,5,Movie name?,https://www.instagram.com/reel/DW20px2kiNY/,c31,high,0.7684
Movie Name Requests,6,Which movie??,https://www.instagram.com/reel/DW20px2kiNY/,c70,high,0.7648
Movie Name Requests,7,Movie ???,https://www.instagram.com/reel/DXAEtnzkwvL/,c418,high,0.7516
Movie Name Requests,8,What’s the movie ?,https://www.instagram.com/reel/DW9ebHtPnBL/,c405,high,0.746
Movie Name Requests,9,Which movie,https://www.instagram.com/reel/DW20px2kiNY/,c19,high,0.7451
Movie Name Requests,10,Name of the movie?,https://www.instagram.com/reel/DXACv8kmL-m/,c364,high,0.7385
Smooth Move Compliments,1,That was smooth,https://www.instagram.com/reel/DW_x3ZrO2Wz/,c154,low,0.7555
Smooth Move Compliments,2,That was smooooth....,https://www.instagram.com/reel/DW20px2kiNY/,c10,low,0.7442
Smooth Move Compliments,3,That was smooth though,https://www.instagram.com/reel/DW20px2kiNY/,c60,med,0.736
Smooth Move Compliments,4,That was smooooooooth af,https://www.instagram.com/reel/DW20px2kiNY/,c73,low,0.7335
Smooth Move Compliments,5,Ok that's smooth ??,https://www.instagram.com/reel/DW20px2kiNY/,c108,low,0.7244
Smooth Move Compliments,6,Smooooth ????,https://www.instagram.com/reel/DW20px2kiNY/,c89,med,0.7243
Smooth Move Compliments,7,so smooth bro????,https://www.instagram.com/reel/DW3hkdljRnT/,c302,low,0.7178
Smooth Move Compliments,8,Smooth ?????,https://www.instagram.com/reel/DXAkYV4DpiT/,c377,low,0.7146
Smooth Move Compliments,9,SMOTH AS FUCK ??,https://www.instagram.com/reel/DW3hkdljRnT/,c305,low,0.7076
Smooth Move Compliments,10,Now how simple and smooth was that??,https://www.instagram.com/reel/DW20px2kiNY/,c99,med,0.702
Short Minimal Reactions,1,Sheesh,https://www.instagram.com/reel/DXAkYV4DpiT/,c381,low,0.6708
Short Minimal Reactions,2,Nice ????,https://www.instagram.com/reel/DW20px2kiNY/,c66,med,0.6465
Short Minimal Reactions,3,@trishmatemba5 oh,https://www.instagram.com/reel/DW28Wv1kjmN/,c260,low,0.6404
Short Minimal Reactions,4,Cute!,https://www.instagram.com/reel/DXAkYV4DpiT/,c382,med,0.6402
Short Minimal Reactions,5,Oh my,https://www.instagram.com/reel/DW28Wv1kjmN/,c272,low,0.6374
Short Minimal Reactions,6,M,https://www.instagram.com/reel/DW_x3ZrO2Wz/,c149,low,0.6273
Short Minimal Reactions,7,Kinda cringe,https://www.instagram.com/reel/DW40azaiJZ1/,c281,low,0.627
Short Minimal Reactions,8,@buddy_2323 no.,https://www.instagram.com/reel/DW4VNdsDuPA/,c313,low,0.626
Short Minimal Reactions,9,Smooth,https://www.instagram.com/reel/DW20px2kiNY/,c86,low,0.6256
Short Minimal Reactions,10,Oh-,https://www.instagram.com/reel/DXCyaZ5E8fW/,c470,low,0.6253
Critical Comments About Woman,1,Women??,https://www.instagram.com/reel/DW34A7uCOwb/,c231,low,0.6805
Critical Comments About Woman,2,Dumb woman..,https://www.instagram.com/reel/DW34A7uCOwb/,c239,low,0.6735
Critical Comments About Woman,3,Women ????????,https://www.instagram.com/reel/DW34A7uCOwb/,c229,low,0.668
Critical Comments About Woman,4,Women,https://www.instagram.com/reel/DW6prcmPyLj/,c441,low,0.6621
